"order_id","customer_id","product_id","product_title","category","quantity","unit_price","gross_amount","discount_percentage","net_amount","order_gross_amount","order_net_amount","ingested_at","ingestion_date"
"1","1","113","Generic Motorcycle","motorcycle","3","3999.99","11999.97","12.1","10547.97","13037.88","11510.81","2026-09-04 16:43:41.501","2026-09-04"
"1","1","122","iPhone 6","smartphones","3","299.99","899.97","6.69","839.76","13037.88","11510.81","2026-09-04 16:43:41.501","2026-09-04"
"1","1","138","Baseball Ball","sports-accessories","2","8.99","17.98","1.71","17.67","13037.88","11510.81","2026-09-04 16:43:41.501","2026-09-04"
"1","1","162","Blue Frock","tops","4","29.99","119.96","12.13","105.41","13037.88","11510.81","2026-09-04 16:43:41.501","2026-09-04"
"2","2","86","Man Short Sleeve Shirt","mens-shirts","5","19.99","99.94999999999999","6.83","93.12","139.93","125.7","2026-09-04 16:43:41.501","2026-09-04"
"2","2","104","Apple iPhone Charger","mobile-accessories","2","19.99","39.98","18.52","32.58","139.93","125.7","2026-09-04 16:43:41.501","2026-09-04"
"3","3","8","Dior J'adore","fragrances","2","89.99","179.98","14.72","153.49","1794.85","1625.77","2026-09-04 16:43:41.501","2026-09-04"
"3","3","24","Fish Steak","groceries","1","14.99","14.99","4.23","14.36","1794.85","1625.77","2026-09-04 16:43:41.501","2026-09-04"
"3","3","86","Man Short Sleeve Shirt","mens-shirts","5","19.99","99.94999999999999","6.83","93.12","1794.85","1625.77","2026-09-04 16:43:41.501","2026-09-04"
"3","3","123","iPhone 13 Pro","smartphones","1","1099.99","1099.99","9.37","996.92","1794.85","1625.77","2026-09-04 16:43:41.501","2026-09-04"
"3","3","129","Realme X","smartphones","1","299.99","299.99","6.95","279.14","1794.85","1625.77","2026-09-04 16:43:41.501","2026-09-04"
"3","3","157","Party Glasses","sunglasses","5","19.99","99.94999999999999","11.22","88.74","1794.85","1625.77","2026-09-04 16:43:41.501","2026-09-04"
"4","4","8","Dior J'adore","fragrances","4","89.99","359.96","14.72","306.97","689.93","636.81","2026-09-04 16:43:41.501","2026-09-04"
"4","4","92","Sports Sneakers Off White Red","mens-shoes","3","109.99","329.96999999999997","0.04","329.84","689.93","636.81","2026-09-04 16:43:41.501","2026-09-04"
"5","5","3","Powder Canister","beauty","4","14.99","59.96","9.84","54.06","1467.88","1205.8","2026-09-04 16:43:41.501","2026-09-04"
"5","5","39","Soft Drinks","groceries","4","1.99","7.96","17.48","6.57","1467.88","1205.8","2026-09-04 16:43:41.501","2026-09-04"
"5","5","161","Samsung Galaxy Tab White","tablets","4","349.99","1399.96","18.2","1145.17","1467.88","1205.8","2026-09-04 16:43:41.501","2026-09-04"
"6","6","42","Water","groceries","4","0.99","3.96","14.92","3.37","55453.86","46641.06","2026-09-04 16:43:41.501","2026-09-04"
"6","6","130","Realme XT","smartphones","1","349.99","349.99","11.51","309.71","55453.86","46641.06","2026-09-04 16:43:41.501","2026-09-04"
"6","6","155","Classic Sun Glasses","sunglasses","4","24.99","99.96","4.94","95.02","55453.86","46641.06","2026-09-04 16:43:41.501","2026-09-04"
"6","6","192","Rolex Datejust Women","womens-watches","5","10999.99","54999.95","15.94","46232.96","55453.86","46641.06","2026-09-04 16:43:41.501","2026-09-04"
"7","7","9","Dolce Shine Eau de","fragrances","2","69.99","139.98","0.62","139.11","1229.86","1103.65","2026-09-04 16:43:41.501","2026-09-04"
"7","7","56","Electric Stove","kitchen-accessories","1","49.99","49.99","14.04","42.97","1229.86","1103.65","2026-09-04 16:43:41.501","2026-09-04"
"7","7","90","Puma Future Rider Trainers","mens-shoes","5","89.99","449.95","4.2","431.05","1229.86","1103.65","2026-09-04 16:43:41.501","2026-09-04"
"7","7","120","Vaseline Men Body and Face Lotion","skin-care","4","9.99","39.96","13.39","34.61","1229.86","1103.65","2026-09-04 16:43:41.501","2026-09-04"
"7","7","136","Vivo X21","smartphones","1","499.99","499.99","17.41","412.94","1229.86","1103.65","2026-09-04 16:43:41.501","2026-09-04"
"8","8","11","Annibale Colombo Bed","furniture","3","1899.99","5699.97","8.57","5211.48","6337.83","5771.32","2026-09-04 16:43:41.501","2026-09-04"
"8","8","18","Cat Food","groceries","2","8.99","17.98","9.58","16.26","6337.83","5771.32","2026-09-04 16:43:41.501","2026-09-04"
"8","8","50","Black Whisk","kitchen-accessories","3","9.99","29.97","10.24","26.9","6337.83","5771.32","2026-09-04 16:43:41.501","2026-09-04"
"8","8","106","Apple Watch Series 4 Gold","mobile-accessories","1","349.99","349.99","12.02","307.92","6337.83","5771.32","2026-09-04 16:43:41.501","2026-09-04"
"8","8","108","iPhone 12 Silicone Case with MagSafe Plum","mobile-accessories","4","29.99","119.96","13.85","103.35","6337.83","5771.32","2026-09-04 16:43:41.501","2026-09-04"
"8","8","162","Blue Frock","tops","4","29.99","119.96","12.13","105.41","6337.83","5771.32","2026-09-04 16:43:41.501","2026-09-04"
"9","9","1","Essence Mascara Lash Princess","beauty","3","9.99","29.97","10.48","26.83","29709.9","27993.46","2026-09-04 16:43:41.501","2026-09-04"
"9","9","90","Puma Future Rider Trainers","mens-shoes","2","89.99","179.98","4.2","172.42","29709.9","27993.46","2026-09-04 16:43:41.501","2026-09-04"
"9","9","98","Rolex Submariner Watch","mens-watches","2","13999.99","27999.98","5.05","26585.98","29709.9","27993.46","2026-09-04 16:43:41.501","2026-09-04"
"9","9","132","Samsung Galaxy S8","smartphones","3","499.99","1499.97","19.45","1208.23","29709.9","27993.46","2026-09-04 16:43:41.501","2026-09-04"
"10","10","41","Tissue Paper Box","groceries","1","2.49","2.49","13.28","2.16","152.44","131.34","2026-09-04 16:43:41.501","2026-09-04"
"10","10","108","iPhone 12 Silicone Case with MagSafe Plum","mobile-accessories","5","29.99","149.95","13.85","129.18","152.44","131.34","2026-09-04 16:43:41.501","2026-09-04"
"11","11","25","Green Bell Pepper","groceries","3","1.29","3.87","0.16","3.86","61831.75","57397.84","2026-09-04 16:43:41.501","2026-09-04"
"11","11","55","Egg Slicer","kitchen-accessories","4","6.99","27.96","14.76","23.83","61831.75","57397.84","2026-09-04 16:43:41.501","2026-09-04"
"11","11","101","Apple AirPods Max Silver","mobile-accessories","2","549.99","1099.98","13.67","949.61","61831.75","57397.84","2026-09-04 16:43:41.501","2026-09-04"
"11","11","115","MotoGP CI.H1","motorcycle","4","14999.99","59999.96","6.92","55847.96","61831.75","57397.84","2026-09-04 16:43:41.501","2026-09-04"
"11","11","161","Samsung Galaxy Tab White","tablets","2","349.99","699.98","18.2","572.58","61831.75","57397.84","2026-09-04 16:43:41.501","2026-09-04"
"12","12","8","Dior J'adore","fragrances","1","89.99","89.99","14.72","76.74","37767.32","35410.79","2026-09-04 16:43:41.501","2026-09-04"
"12","12","14","Knoll Saarinen Executive Conference Chair","furniture","4","499.99","1999.96","2.01","1959.76","37767.32","35410.79","2026-09-04 16:43:41.501","2026-09-04"
"12","12","28","Ice Cream","groceries","5","5.49","27.450000000000003","8.69","25.06","37767.32","35410.79","2026-09-04 16:43:41.501","2026-09-04"
"12","12","98","Rolex Submariner Watch","mens-watches","2","13999.99","27999.98","5.05","26585.98","37767.32","35410.79","2026-09-04 16:43:41.501","2026-09-04"
"12","12","117","Sportbike Motorcycle","motorcycle","1","7499.99","7499.99","11.58","6631.49","37767.32","35410.79","2026-09-04 16:43:41.501","2026-09-04"
"12","12","162","Blue Frock","tops","5","29.99","149.95","12.13","131.76","37767.32","35410.79","2026-09-04 16:43:41.501","2026-09-04"
"13","13","23","Eggs","groceries","4","2.99","11.96","11.05","10.64","16.54","14.97","2026-09-04 16:43:41.501","2026-09-04"
"13","13","35","Potatoes","groceries","2","2.29","4.58","5.38","4.33","16.54","14.97","2026-09-04 16:43:41.501","2026-09-04"
"14","14","44","Family Tree Photo Frame","home-decoration","4","29.99","119.96","14.87","102.12","209.9","184.59","2026-09-04 16:43:41.501","2026-09-04"
"14","14","65","Lunch Box","kitchen-accessories","5","12.99","64.95","10.34","58.23","209.9","184.59","2026-09-04 16:43:41.501","2026-09-04"
"14","14","68","Pan","kitchen-accessories","1","24.99","24.99","3.0","24.24","209.9","184.59","2026-09-04 16:43:41.501","2026-09-04"
"15","15","61","Hand Blender","kitchen-accessories","2","34.99","69.98","17.02","58.07","249.95","214.68","2026-09-04 16:43:41.501","2026-09-04"
